"Serial_Number","Lat","Long","Wind","month","year","decade"
"1980199N31284",30.5,-76.5,20,"July",1980,"1980s"
"1980199N31284",30.2,-77.2,25,"July",1980,"1980s"
"1980199N31284",30,-78,25,"July",1980,"1980s"
"1980199N31284",29.9,-79.3,25,"July",1980,"1980s"
"1980199N31284",29.8,-80.2,25,"July",1980,"1980s"
"1980199N31284",29.5,-81.1,25,"July",1980,"1980s"
"1980199N31284",29.5,-82,20,"July",1980,"1980s"
"1980199N31284",29.4,-83,20,"July",1980,"1980s"
"1980199N31284",29.4,-84,20,"July",1980,"1980s"
"1980199N31284",29.5,-84.7,20,"July",1980,"1980s"
"1980199N31284",29.6,-85.8,25,"July",1980,"1980s"
"1980199N31284",29.7,-86.4,25,"July",1980,"1980s"
"1980199N31284",29.8,-87,25,"July",1980,"1980s"
"1980199N31284",29.9,-87.8,25,"July",1980,"1980s"
"1980199N31284",30,-88.5,25,"July",1980,"1980s"
"1980199N31284",30.4,-89.2,20,"July",1980,"1980s"
"1980199N31284",30.8,-90,0,"July",1980,"1980s"
"1980200N25270",25,-90,20,"July",1980,"1980s"
"1980200N25270",25.2,-90.4,25,"July",1980,"1980s"
"1980200N25270",25.4,-90.9,25,"July",1980,"1980s"
"1980200N25270",25.7,-91.2,30,"July",1980,"1980s"
"1980200N25270",26,-91.8,30,"July",1980,"1980s"
"1980200N25270",26.2,-92.1,30,"July",1980,"1980s"
"1980200N25270",26.4,-92.7,30,"July",1980,"1980s"
"1980200N25270",26.8,-93,30,"July",1980,"1980s"
"1980200N25270",27,-93.5,30,"July",1980,"1980s"
"1980200N25270",27.4,-94,30,"July",1980,"1980s"
"1980200N25270",27.8,-94.5,30,"July",1980,"1980s"
"1980200N25270",28,-94.9,30,"July",1980,"1980s"
"1980200N25270",28.5,-95.2,30,"July",1980,"1980s"
"1980200N25270",29,-95.7,25,"July",1980,"1980s"
"1980200N25270",29.5,-95.7,25,"July",1980,"1980s"
"1980200N25270",30,-95.5,25,"July",1980,"1980s"
"1980200N25270",30.5,-95,0,"July",1980,"1980s"
"1980204N23287",23.2,-73.5,20,"July",1980,"1980s"
"1980204N23287",24,-74.5,25,"July",1980,"1980s"
"1980204N23287",25.1,-75.4,25,"July",1980,"1980s"
"1980204N23287",26.2,-76.2,30,"July",1980,"1980s"
"1980204N23287",27,-76.8,30,"July",1980,"1980s"
"1980204N23287",28.2,-77.4,30,"July",1980,"1980s"
"1980204N23287",29.3,-77.8,30,"July",1980,"1980s"
"1980204N23287",30.8,-77.7,30,"July",1980,"1980s"
"1980204N23287",31.8,-77.4,30,"July",1980,"1980s"
"1980204N23287",33,-76.8,30,"July",1980,"1980s"
"1980204N23287",34,-75.8,30,"July",1980,"1980s"
"1980204N23287",35.1,-73.9,25,"July",1980,"1980s"
"1980204N23287",36,-72,25,"July",1980,"1980s"
"1980204N23287",36.5,-70,25,"July",1980,"1980s"
"1980204N23287",37,-68.2,25,"July",1980,"1980s"
"1980204N23287",37.2,-66,20,"July",1980,"1980s"
"1980204N23287",37.6,-64,20,"July",1980,"1980s"
"1980214N11330",11,-30,25,"July",1980,"1980s"
"1980214N11330",10.9,-32.2,25,"July",1980,"1980s"
"1980214N11330",10.8,-34.3,30,"August",1980,"1980s"
"1980214N11330",10.7,-36.4,30,"August",1980,"1980s"
"1980214N11330",10.7,-38.6,30,"August",1980,"1980s"
"1980214N11330",10.7,-40.7,30,"August",1980,"1980s"
"1980214N11330",11,-42.8,35,"August",1980,"1980s"
"1980214N11330",11.4,-44.8,45,"August",1980,"1980s"
"1980214N11330",11.9,-46.9,55,"August",1980,"1980s"
"1980214N11330",12.3,-49.1,60,"August",1980,"1980s"
"1980214N11330",12.4,-51.4,65,"August",1980,"1980s"
"1980214N11330",12.6,-53.6,70,"August",1980,"1980s"
"1980214N11330",12.8,-55.6,80,"August",1980,"1980s"
"1980214N11330",12.9,-57.5,95,"August",1980,"1980s"
"1980214N11330",13.3,-59.1,110,"August",1980,"1980s"
"1980214N11330",13.6,-61,115,"August",1980,"1980s"
"1980214N11330",14,-63,125,"August",1980,"1980s"
"1980214N11330",14.4,-64.9,130,"August",1980,"1980s"
"1980214N11330",14.8,-66.7,140,"August",1980,"1980s"
"1980214N11330",15.4,-68.6,145,"August",1980,"1980s"
"1980214N11330",15.9,-70.5,155,"August",1980,"1980s"
"1980214N11330",16.5,-72.3,150,"August",1980,"1980s"
"1980214N11330",17.8,-73.8,140,"August",1980,"1980s"
"1980214N11330",18.3,-75.9,115,"August",1980,"1980s"
"1980214N11330",19.2,-78,115,"August",1980,"1980s"
"1980214N11330",20,-80.1,125,"August",1980,"1980s"
"1980214N11330",20.1,-81.9,135,"August",1980,"1980s"
"1980214N11330",20.4,-83.6,145,"August",1980,"1980s"
"1980214N11330",21,-84.8,155,"August",1980,"1980s"
"1980214N11330",21.8,-86.4,165,"August",1980,"1980s"
"1980214N11330",22.2,-87.9,155,"August",1980,"1980s"
"1980214N11330",22.8,-89.2,130,"August",1980,"1980s"
"1980214N11330",23.4,-90.5,115,"August",1980,"1980s"
"1980214N11330",23.9,-91.8,130,"August",1980,"1980s"
"1980214N11330",24.5,-93,145,"August",1980,"1980s"
"1980214N11330",25,-94.2,155,"August",1980,"1980s"
"1980214N11330",25.2,-95.4,140,"August",1980,"1980s"
"1980214N11330",25.4,-96.1,125,"August",1980,"1980s"
"1980214N11330",25.8,-96.8,110,"August",1980,"1980s"
"1980214N11330",26.1,-97.2,100,"August",1980,"1980s"
"1980214N11330",26.7,-98.1,85,"August",1980,"1980s"
"1980214N11330",27.3,-99,70,"August",1980,"1980s"
"1980214N11330",27.7,-99.8,60,"August",1980,"1980s"
"1980214N11330",28,-100.9,45,"August",1980,"1980s"
"1980214N11330",28.5,-101.9,30,"August",1980,"1980s"
"1980214N11330",28.9,-102.9,30,"August",1980,"1980s"
"1980226N15339",15,-21,20,"August",1980,"1980s"
"1980226N15339",15.2,-22.5,25,"August",1980,"1980s"
"1980226N15339",15.8,-24.2,25,"August",1980,"1980s"
"1980226N15339",16.7,-25.9,30,"August",1980,"1980s"
"1980226N15339",17.8,-27.1,30,"August",1980,"1980s"
"1980226N15339",18.8,-28.7,30,"August",1980,"1980s"
"1980226N15339",20,-30,30,"August",1980,"1980s"
"1980226N15339",21,-31.7,30,"August",1980,"1980s"
"1980226N15339",22,-33,30,"August",1980,"1980s"
"1980226N15339",23.2,-34.3,30,"August",1980,"1980s"
"1980226N15339",24.8,-35.9,30,"August",1980,"1980s"
"1980226N15339",27.3,-37.2,30,"August",1980,"1980s"
"1980226N15339",30,-36.6,30,"August",1980,"1980s"
"1980226N15339",32.1,-34.4,25,"August",1980,"1980s"
"1980226N15339",33.8,-31.9,25,"August",1980,"1980s"
"1980226N15339",35.2,-29,25,"August",1980,"1980s"
"1980226N15339",36.7,-26.2,20,"August",1980,"1980s"
"1980227N13325",12.7,-35.5,25,"August",1980,"1980s"
"1980227N13325",13.5,-36.6,30,"August",1980,"1980s"
"1980227N13325",14.7,-37.3,35,"August",1980,"1980s"
"1980227N13325",15.7,-37.5,45,"August",1980,"1980s"
"1980227N13325",16.7,-37.8,45,"August",1980,"1980s"
"1980227N13325",17.7,-37.9,45,"August",1980,"1980s"
"1980227N13325",18.8,-38.1,45,"August",1980,"1980s"
"1980227N13325",20.4,-38.5,55,"August",1980,"1980s"
"1980227N13325",22,-38.7,75,"August",1980,"1980s"
"1980227N13325",23.7,-38.9,85,"August",1980,"1980s"
"1980227N13325",24.8,-39.1,85,"August",1980,"1980s"
"1980227N13325",25.8,-39.4,85,"August",1980,"1980s"
"1980227N13325",27,-39.7,75,"August",1980,"1980s"
"1980227N13325",28,-40,65,"August",1980,"1980s"
"1980227N13325",29,-40.3,65,"August",1980,"1980s"
"1980227N13325",30,-40.5,65,"August",1980,"1980s"
"1980227N13325",31.1,-40.5,65,"August",1980,"1980s"
"1980227N13325",32.4,-40.5,65,"August",1980,"1980s"
"1980227N13325",34,-40.5,65,"August",1980,"1980s"
"1980227N13325",35.9,-40.5,65,"August",1980,"1980s"
"1980227N13325",38.2,-40.2,65,"August",1980,"1980s"
"1980227N13325",41.9,-39.8,65,"August",1980,"1980s"
"1980227N13325",46.5,-38.4,65,"August",1980,"1980s"
"1980227N13325",51,-36,45,"August",1980,"1980s"
"1980234N36287",36,-73,25,"August",1980,"1980s"
"1980234N36287",35,-72,25,"August",1980,"1980s"
"1980234N36287",34,-71,30,"August",1980,"1980s"
"1980234N36287",33.4,-69.5,30,"August",1980,"1980s"
"1980234N36287",34,-68,35,"August",1980,"1980s"
"1980234N36287",34.8,-66.8,40,"August",1980,"1980s"
"1980234N36287",35.8,-65.7,45,"August",1980,"1980s"
"1980234N36287",37,-64.8,50,"August",1980,"1980s"
"1980234N36287",38.3,-64.7,55,"August",1980,"1980s"
"1980234N36287",39.1,-64.9,60,"August",1980,"1980s"
"1980234N36287",39.6,-65.9,65,"August",1980,"1980s"
"1980234N36287",38.9,-66.7,70,"August",1980,"1980s"
"1980234N36287",38.2,-66,70,"August",1980,"1980s"
"1980234N36287",38,-64.7,70,"August",1980,"1980s"
"1980234N36287",38,-63.1,65,"August",1980,"1980s"
"1980234N36287",37.9,-61.7,60,"August",1980,"1980s"
"1980234N36287",37.9,-60.2,55,"August",1980,"1980s"
"1980234N36287",37.9,-58.2,45,"August",1980,"1980s"
"1980234N36287",38,-55,35,"August",1980,"1980s"
"1980234N36287",38.1,-51.3,35,"August",1980,"1980s"
"1980234N36287",38.2,-47,35,"August",1980,"1980s"
"1980234N36287",38.5,-42.2,35,"August",1980,"1980s"
"1980238N16328",15.9,-31.6,20,"August",1980,"1980s"
"1980238N16328",15.8,-34,25,"August",1980,"1980s"
"1980238N16328",15.7,-35.3,25,"August",1980,"1980s"
"1980238N16328",15.6,-36.9,25,"August",1980,"1980s"
"1980238N16328",15.5,-38.3,25,"August",1980,"1980s"
"1980238N16328",15.4,-39.8,25,"August",1980,"1980s"
"1980238N16328",15.4,-41,25,"August",1980,"1980s"
"1980238N16328",15.3,-43,30,"August",1980,"1980s"
"1980238N16328",15.4,-44.9,30,"August",1980,"1980s"
"1980238N16328",15.8,-46.8,30,"August",1980,"1980s"
"1980238N16328",16,-48.8,30,"August",1980,"1980s"
"1980238N16328",16.7,-50.8,30,"August",1980,"1980s"
"1980238N16328",17.8,-52.7,30,"August",1980,"1980s"
"1980238N16328",19,-54.3,30,"August",1980,"1980s"
"1980238N16328",20.5,-56,25,"August",1980,"1980s"
"1980238N16328",22,-58,25,"August",1980,"1980s"
"1980238N16328",22.5,-60,20,"August",1980,"1980s"
"1980245N16322",15.6,-38,30,"September",1980,"1980s"
"1980245N16322",15.9,-39.4,30,"September",1980,"1980s"
"1980245N16322",16.3,-40.8,30,"September",1980,"1980s"
"1980245N16322",16.8,-42.1,30,"September",1980,"1980s"
"1980245N16322",17.3,-43.7,30,"September",1980,"1980s"
"1980245N16322",17.5,-45.7,30,"September",1980,"1980s"
"1980245N16322",17.7,-48.1,30,"September",1980,"1980s"
"1980245N16322",17.8,-50.3,30,"September",1980,"1980s"
"1980245N16322",17.9,-52.4,30,"September",1980,"1980s"
"1980245N16322",18,-54.5,30,"September",1980,"1980s"
"1980245N16322",18.6,-56.9,30,"September",1980,"1980s"
"1980245N16322",19.7,-59,25,"September",1980,"1980s"
"1980245N16322",21,-61,20,"September",1980,"1980s"
"1980245N16322",22.1,-62.3,20,"September",1980,"1980s"
"1980245N16322",23.4,-63.6,20,"September",1980,"1980s"
"1980245N16322",24.8,-64.8,20,"September",1980,"1980s"
"1980245N16322",26.1,-65.8,20,"September",1980,"1980s"
"1980245N16322",27.5,-67,20,"September",1980,"1980s"
"1980245N16322",28.5,-68.6,25,"September",1980,"1980s"
"1980245N16322",29,-69.4,30,"September",1980,"1980s"
"1980245N16322",29.7,-70,30,"September",1980,"1980s"
"1980245N16322",30.6,-70,30,"September",1980,"1980s"
"1980245N16322",31.7,-69.6,30,"September",1980,"1980s"
"1980245N16322",32.9,-69.1,30,"September",1980,"1980s"
"1980245N16322",34.4,-67.9,40,"September",1980,"1980s"
"1980245N16322",35.9,-65.9,45,"September",1980,"1980s"
"1980245N16322",37.3,-63.7,50,"September",1980,"1980s"
"1980245N16322",38.6,-61.5,55,"September",1980,"1980s"
"1980245N16322",40.2,-59,70,"September",1980,"1980s"
"1980245N16322",42.9,-55.1,70,"September",1980,"1980s"
"1980245N16322",45.6,-51.1,70,"September",1980,"1980s"
"1980245N16322",48,-46.9,65,"September",1980,"1980s"
"1980249N18336",17.7,-24,25,"September",1980,"1980s"
"1980249N18336",17.4,-25.3,30,"September",1980,"1980s"
"1980249N18336",17.8,-26.7,35,"September",1980,"1980s"
"1980249N18336",18.2,-28,40,"September",1980,"1980s"
"1980249N18336",18.8,-29.5,40,"September",1980,"1980s"
"1980249N18336",19.2,-31,40,"September",1980,"1980s"
"1980249N18336",19.7,-32,40,"September",1980,"1980s"
"1980249N18336",20.3,-33.8,40,"September",1980,"1980s"
"1980249N18336",21,-35.5,45,"September",1980,"1980s"
"1980249N18336",21.5,-36.5,45,"September",1980,"1980s"
"1980249N18336",22.2,-37.8,45,"September",1980,"1980s"
"1980249N18336",23.2,-38.8,45,"September",1980,"1980s"
"1980249N18336",25,-39.7,45,"September",1980,"1980s"
"1980249N18336",27,-40.3,50,"September",1980,"1980s"
"1980249N18336",29,-41.2,60,"September",1980,"1980s"
"1980249N18336",30.4,-42.5,65,"September",1980,"1980s"
"1980249N18336",32,-43.5,65,"September",1980,"1980s"
"1980249N18336",33.3,-44.1,65,"September",1980,"1980s"
"1980249N18336",34.7,-44.3,65,"September",1980,"1980s"
"1980249N18336",36.3,-43.8,65,"September",1980,"1980s"
"1980249N18336",38,-43.1,65,"September",1980,"1980s"
"1980249N18336",40.5,-41.5,65,"September",1980,"1980s"
"1980249N18336",43,-39,65,"September",1980,"1980s"
"1980249N18336",45.2,-36,65,"September",1980,"1980s"
"1980249N18336",47.5,-32.5,55,"September",1980,"1980s"
"1980249N18336",49.5,-28.5,55,"September",1980,"1980s"
"1980249N18336",51.5,-23.5,55,"September",1980,"1980s"
"1980249N28269",28.3,-90.6,25,"September",1980,"1980s"
"1980249N28269",28.3,-91.3,25,"September",1980,"1980s"
"1980249N28269",28.4,-91.8,25,"September",1980,"1980s"
"1980249N28269",28.8,-92.4,30,"September",1980,"1980s"
"1980249N28269",29.4,-93.4,50,"September",1980,"1980s"
"1980249N28269",29.4,-94.9,40,"September",1980,"1980s"
"1980249N28269",29.3,-96.3,35,"September",1980,"1980s"
"1980249N28269",29.1,-97,30,"September",1980,"1980s"
"1980249N28269",29,-97.8,25,"September",1980,"1980s"
"1980249N28269",29,-98.3,20,"September",1980,"1980s"
"1980249N28269",29,-99,20,"September",1980,"1980s"
"1980249N28269",29,-100,20,"September",1980,"1980s"
"1980250N13341",12.5,-19,25,"September",1980,"1980s"
"1980250N13341",12.5,-20,25,"September",1980,"1980s"
"1980250N13341",12.6,-21,30,"September",1980,"1980s"
"1980250N13341",12.7,-21.8,35,"September",1980,"1980s"
"1980250N13341",12.8,-22.5,40,"September",1980,"1980s"
"1980250N13341",12.9,-23.2,45,"September",1980,"1980s"
"1980250N13341",13,-24,55,"September",1980,"1980s"
"1980250N13341",13,-24.8,60,"September",1980,"1980s"
"1980250N13341",13,-25.6,65,"September",1980,"1980s"
"1980250N13341",13,-26.8,70,"September",1980,"1980s"
"1980250N13341",12.9,-28,80,"September",1980,"1980s"
"1980250N13341",12.8,-29,90,"September",1980,"1980s"
"1980250N13341",12.8,-29.8,100,"September",1980,"1980s"
"1980250N13341",12.9,-30.5,100,"September",1980,"1980s"
"1980250N13341",13,-31.3,100,"September",1980,"1980s"
"1980250N13341",13.2,-32.1,90,"September",1980,"1980s"
"1980250N13341",13.4,-32.9,90,"September",1980,"1980s"
"1980250N13341",13.8,-33.5,90,"September",1980,"1980s"
"1980250N13341",14.2,-34.1,85,"September",1980,"1980s"
"1980250N13341",14.9,-34.6,80,"September",1980,"1980s"
"1980250N13341",15.4,-34.9,85,"September",1980,"1980s"
"1980250N13341",16,-35,90,"September",1980,"1980s"
"1980250N13341",16.3,-35.3,90,"September",1980,"1980s"
"1980250N13341",16.6,-35.9,85,"September",1980,"1980s"
"1980250N13341",17,-36.1,80,"September",1980,"1980s"
